City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.8,broken clouds,-23.12,-134.97,Pension Maro'i
1,Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
4,Laguna,US,78.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
5,Luanda,AO,76.53,overcast clouds,-8.84,13.23,EPIC SANA Luanda
11,Hilo,US,75.99,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
15,Yulara,AU,78.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
16,Tambura,SS,71.64,moderate rain,5.6,27.47,Guest hous Tambura
20,Bengkulu,ID,76.98,light rain,-3.8,102.27,Grage Hotel Bengkulu
24,Kilindoni,TZ,79.74,clear sky,-7.91,39.67,Bustani B&B
33,Omboue,GA,78.04,overcast clouds,-1.57,9.26,Hotel Olako
34,Touros,BR,77.0,shower rain,-5.2,-35.46,INN NEW HORIZON
40,Sorong,ID,77.59,overcast clouds,-0.88,131.25,The Waigo Hotel
43,Albany,US,73.0,broken clouds,42.6,-73.97,
44,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
51,Karatu,TZ,71.08,scattered clouds,-3.33,35.67,Highview Coffee Lodge
52,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
55,Kodinar,IN,81.99,light rain,20.79,70.7,"Hotel Krishna Park, Kodinar"
57,Morant Bay,JM,84.2,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
59,Kloulklubed,PW,80.6,heavy intensity rain,7.04,134.26,Storyboard Beach Resort
60,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
62,Coihueco,CL,71.6,clear sky,-36.62,-71.83,Frutillares Coihueco
63,Kirakira,SB,79.21,few clouds,-10.45,161.92,SanBiz Lodge
72,Castro,BR,79.16,clear sky,-24.79,-50.01,CHACARA BAILLY
74,Jasper,US,79.0,broken clouds,37.2,-94.35,Guest House Motel
79,Guerrero Negro,MX,74.73,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
85,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
88,Catuday,PH,78.39,moderate rain,16.29,119.81,GResort
89,Virginia Beach,US,80.6,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
90,Faanui,PF,78.39,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Robertsport,LR,79.48,moderate rain,6.75,-11.37,Kwepunha Retreat
96,Butaritari,KI,82.53,overcast clouds,3.07,172.79,Isles Sunset Lodge
97,Dublin,US,82.0,clear sky,37.7,-121.94,Larkspur Landing Pleasanton
99,Marawi,PH,77.0,moderate rain,8.0,124.29,Derogongan Residence
101,Eyl,SO,82.81,clear sky,7.98,49.82,Amiin Hotel
104,Chiredzi,ZW,75.94,scattered clouds,-21.05,31.67,The Nesbitt Arms
105,Nizwa,OM,72.23,clear sky,22.93,57.53,Orient Apartments
106,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
107,Saint-Georges,GD,87.8,few clouds,12.06,-61.75,Siesta Hotel
110,Jeremie,HT,84.34,light rain,18.65,-74.12,Auberge’Inn
111,Punta De Piedra,VE,88.03,moderate rain,7.62,-71.49,Casa 7 Punta de Piedra
113,Hithadhoo,MV,82.92,few clouds,-0.6,73.08,Scoop Guest House
114,Buraydah,SA,75.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
117,Makanya,TZ,74.7,clear sky,-4.37,37.83,
119,Manaul,PH,80.62,moderate rain,12.45,121.41,RC Farm and Resort
121,Salinopolis,BR,85.1,scattered clouds,-0.61,-47.36,Hotel Salinópolis
122,Arraial Do Cabo,BR,78.8,few clouds,-22.97,-42.03,Pousada Porto Praia
124,Atuona,PF,77.38,broken clouds,-9.8,-139.03,Villa Enata
125,Umm Lajj,SA,81.36,clear sky,25.02,37.27,Moon light Furnished Units
126,Caravelas,BR,78.66,heavy intensity rain,-17.71,-39.25,Pousada dos Navegantes
129,Waingapu,ID,79.21,clear sky,-9.66,120.26,Pondok Wisata Elim
135,Arawa,PG,76.71,broken clouds,-6.21,155.54,Coastline Guest House
141,San Lazaro,BZ,86.0,broken clouds,18.04,-88.66,
143,Bambous Virieux,MU,75.99,scattered clouds,-20.34,57.76,Casa Tia Villa
147,Gaurnadi,BD,76.98,light rain,22.97,90.23,Govt Gournadi College Dormitory
148,Santa Branca,BR,82.4,scattered clouds,-23.4,-45.88,Hotel Fazendão
149,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
152,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
153,Ambilobe,MG,77.38,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
156,Namibe,AO,70.72,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
158,Port Moresby,PG,74.55,few clouds,-9.44,147.18,Lamana Hotel
159,Pandan,PH,80.73,overcast clouds,14.05,124.17,Bonifacio Lodge
160,Kavieng,PG,81.1,light rain,-2.57,150.8,Nusa Island Retreat
162,Conde,BR,77.0,broken clouds,-7.26,-34.91,Pousada Beija Flor
163,Najran,SA,75.2,clear sky,17.49,44.13,محمد هادي ال فطيح
164,Broome,US,73.99,few clouds,42.25,-75.83,Chenango Valley State Park
165,Mogadishu,SO,80.13,few clouds,2.04,45.34,Hotel Juba
170,Port Blair,IN,81.12,light rain,11.67,92.75,Fortune Resort Bay Island
172,Daud Khel,PK,72.12,clear sky,32.88,71.57,MLCFL CFPP Hostel 6
174,Calama,CL,77.0,clear sky,-22.47,-68.93,Park Hotel Calama
182,Wiang Sa,TH,82.0,moderate rain,8.64,99.37,ชำนาญอินน์
183,Biak,ID,76.15,scattered clouds,-0.91,122.88,Kost Ariz
184,Maceio,BR,84.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
186,Santa Maria,BR,80.46,scattered clouds,-29.68,-53.81,Hotel Morotin
190,Myanaung,MM,73.04,overcast clouds,18.28,95.32,Taung Hlay Khar
191,Jejuri,IN,74.61,light rain,18.28,74.17,Hotel Malhargad
192,Morondava,MG,78.37,few clouds,-20.28,44.28,La Case Bambou
193,Cayenne,GF,87.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
194,Tura,IN,71.65,clear sky,25.52,90.22,Hotel RIKMAN Continental
197,Kutum,SD,80.33,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
199,Ramotswa,BW,82.4,clear sky,-24.87,25.87,Nako Guest House @ Ramotswa
204,Bandarbeyla,SO,81.1,clear sky,9.49,50.81,REER XOOSHLE GROUP
208,Tallahassee,US,86.0,broken clouds,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
209,Nokaneng,BW,82.42,clear sky,-19.67,22.27,
213,Puerto Baquerizo Moreno,EC,73.4,broken clouds,-0.9,-89.6,Hotel los Algarrobos
220,Inhambane,MZ,75.2,few clouds,-23.86,35.38,Oceano
222,Mount Isa,AU,75.2,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
223,Lorengau,PG,81.28,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
226,Qui Nhon,VN,73.62,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
228,Reconquista,AR,84.52,scattered clouds,-29.15,-59.65,Grand Hotel
236,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
237,Dire,ML,84.11,broken clouds,12.28,-10.97,
241,Cam Ranh,VN,82.4,broken clouds,11.92,109.16,OYO 598 Peony Hotel
248,Dingle,PH,76.42,scattered clouds,11.0,122.67,Camp Pasica
251,Tarija,BO,74.17,light rain,-21.54,-64.73,Hostal Granny
256,Metro,ID,77.47,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
258,Baracoa,CU,82.87,moderate rain,20.35,-74.5,Hostal Rio Miel
261,Catalina,US,90.0,broken clouds,32.51,-110.92,Miraval Arizona Resort & Spa
266,Florida,US,84.2,scattered clouds,28.75,-82.5,Deer Park Community
268,Rioja,AR,71.13,overcast clouds,-29.41,-66.85,Hotel Libertador
273,Auki,SB,77.34,light rain,-8.77,160.7,Auki Motel
276,Male,MV,84.2,scattered clouds,4.17,73.51,Hotel Octave Maldives
278,Wanning,CN,70.25,overcast clouds,18.8,110.4,Paradise Hotel
279,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
280,Acapulco,MX,84.2,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
282,Camargo,MX,84.92,clear sky,27.67,-105.17,Hotel Santa Fe
283,Poum,NC,74.59,clear sky,-20.23,164.02,Gîte kajeon
284,Mochudi,BW,82.4,clear sky,-24.42,26.15,Motsile BigMots' Place
285,Karema,TZ,77.99,light rain,-6.82,30.44,
290,Yeppoon,AU,70.99,broken clouds,-23.13,150.73,Villa Mar Colina
293,San Miguel De Cauri,PE,75.2,overcast clouds,-10.1,-76.58,San Miguel de Cauri
294,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
295,Tsiroanomandidy,MG,80.13,clear sky,-18.77,46.03,
296,Tabanan,ID,78.8,scattered clouds,-8.54,115.13,Puri Taman Sari Resort
297,Beloha,MG,71.74,clear sky,-25.17,45.05,
298,Hamilton,US,71.01,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
299,Sinnamary,GF,87.33,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
300,Kalmunai,LK,80.64,few clouds,7.42,81.82,VS Villa
304,Senanga,ZM,83.14,clear sky,-16.12,23.27,Christopher Nasilele House
