,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,73.8,67,60,8.99,broken clouds
1,Kapaa,US,22.08,-159.32,75.2,83,75,8.05,broken clouds
2,Toyooka,JP,35.53,134.83,60.24,76,99,6.13,overcast clouds
3,Nome,US,64.5,-165.41,39.2,93,75,5.14,broken clouds
4,Laguna,US,38.42,-121.42,78.01,31,1,4.7,clear sky
5,Luanda,AO,-8.84,13.23,76.53,80,95,9.53,overcast clouds
6,Mataura,NZ,-46.19,168.86,46.0,81,89,1.01,light rain
7,Ushuaia,AR,-54.8,-68.3,55.4,43,75,16.11,broken clouds
8,Havoysund,NO,71.0,24.66,33.8,80,75,10.29,broken clouds
9,Yar-Sale,RU,66.83,70.83,20.3,97,91,11.9,overcast clouds
10,Iqaluit,CA,63.75,-68.51,32.0,94,75,3.36,broken clouds
11,Hilo,US,19.73,-155.09,75.99,56,1,6.93,clear sky
12,Beringovskiy,RU,63.05,179.32,39.31,80,50,9.93,scattered clouds
13,Camacha,PT,33.08,-16.33,66.2,63,20,14.99,few clouds
14,Pendleton,US,45.67,-118.79,54.0,50,75,24.16,broken clouds
15,Yulara,AU,-25.24,130.99,78.8,36,0,5.82,clear sky
16,Tambura,SS,5.6,27.47,71.64,90,58,3.91,moderate rain
17,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,38,1,20.13,clear sky
18,Lata,PT,40.16,-8.33,63.0,86,7,4.0,light rain
19,Tasiilaq,GL,65.61,-37.64,30.2,86,75,4.54,light shower snow
20,Bengkulu,ID,-3.8,102.27,76.98,86,100,4.72,light rain
21,Goderich,CA,43.75,-81.72,55.0,83,100,20.76,overcast clouds
22,Nevers,FR,46.92,3.33,64.4,72,94,4.7,light rain
23,Segezha,RU,63.74,34.32,27.01,97,27,2.66,scattered clouds
24,Kilindoni,TZ,-7.91,39.67,79.74,77,0,11.14,clear sky
25,Cherskiy,RU,68.75,161.3,16.0,96,80,5.06,broken clouds
26,Jamestown,US,42.1,-79.24,64.99,93,90,12.75,mist
27,Bluff,NZ,-46.6,168.33,46.0,81,99,1.01,light rain
28,East London,ZA,-33.02,27.91,66.2,77,0,11.41,clear sky
29,Port Macquarie,AU,-31.43,152.92,55.0,96,31,5.82,scattered clouds
30,Saint George,US,37.1,-113.58,64.4,17,1,3.36,clear sky
31,Busselton,AU,-33.65,115.33,52.0,68,0,11.07,clear sky
32,Yellowknife,CA,62.46,-114.35,24.8,79,90,17.22,light snow
33,Omboue,GA,-1.57,9.26,78.04,83,98,7.2,overcast clouds
34,Touros,BR,-5.2,-35.46,77.0,94,75,13.87,shower rain
35,Provideniya,RU,64.38,-173.3,35.15,92,17,1.39,few clouds
36,Lao Cai,VN,22.48,103.95,64.98,65,43,2.39,scattered clouds
37,Mehamn,NO,71.04,27.85,26.6,92,75,9.17,broken clouds
38,Adrar,MR,20.5,-10.07,92.14,14,64,5.82,broken clouds
39,Qaanaaq,GL,77.48,-69.36,18.57,80,80,6.91,broken clouds
40,Sorong,ID,-0.88,131.25,77.59,89,100,7.47,overcast clouds
41,Timizart,DZ,36.8,4.27,67.69,36,33,7.0,scattered clouds
42,Husavik,IS,66.04,-17.34,32.0,80,81,3.36,broken clouds
43,Albany,US,42.6,-73.97,73.0,72,58,9.06,broken clouds
44,Souillac,MU,-20.52,57.52,75.2,78,40,13.87,scattered clouds
45,Lakes Entrance,AU,-37.88,147.98,53.01,91,36,0.58,scattered clouds
46,Carnarvon,AU,-24.87,113.63,66.2,68,40,17.22,scattered clouds
47,Mar Del Plata,AR,-38.0,-57.56,55.4,62,0,18.34,clear sky
48,Cape Town,ZA,-33.93,18.42,61.0,77,0,16.11,clear sky
49,Bethel,US,41.37,-73.41,66.2,82,90,5.82,overcast clouds
50,Narok,KE,-1.08,35.86,64.08,58,80,7.81,broken clouds
51,Karatu,TZ,-3.33,35.67,71.08,52,41,8.08,scattered clouds
52,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,21.92,scattered clouds
53,Flin Flon,CA,54.77,-101.86,28.4,74,90,4.47,overcast clouds
54,Khatanga,RU,71.97,102.5,4.28,93,39,5.73,scattered clouds
55,Kodinar,IN,20.79,70.7,81.99,79,91,7.54,light rain
56,Hasaki,JP,35.73,140.83,57.2,93,75,6.93,moderate rain
57,Morant Bay,JM,17.88,-76.41,84.2,79,20,18.34,few clouds
58,Alto Longa,BR,-5.25,-42.21,106.43,13,48,8.7,scattered clouds
59,Kloulklubed,PW,7.04,134.26,80.6,88,90,5.82,heavy intensity rain
60,Georgetown,MY,5.41,100.34,82.4,88,20,5.82,few clouds
61,Hermanus,ZA,-34.42,19.23,55.0,88,0,4.88,clear sky
62,Coihueco,CL,-36.62,-71.83,71.6,35,0,4.7,clear sky
63,Kirakira,SB,-10.45,161.92,79.21,79,19,5.44,few clouds
64,Benjamin Hill,MX,30.17,-111.1,91.99,37,10,1.99,clear sky
65,Jiaonan,CN,35.88,119.98,52.0,70,0,4.47,clear sky
66,Pangnirtung,CA,66.15,-65.71,28.4,86,90,4.7,light snow
67,Chuy,UY,-33.7,-53.46,63.09,64,23,14.97,few clouds
68,Klaksvik,FO,62.23,-6.59,37.4,86,58,6.93,light rain
69,Ostrovnoy,RU,68.05,39.51,33.96,91,99,9.71,light rain
70,Tuktoyaktuk,CA,69.45,-133.04,21.2,92,90,12.75,light snow
71,Narsaq,GL,60.92,-46.05,32.0,91,75,2.44,light snow
72,Castro,BR,-24.79,-50.01,79.16,49,8,8.16,clear sky
73,Esperance,AU,-33.87,121.9,57.2,100,90,9.17,light rain
74,Jasper,US,37.2,-94.35,79.0,65,75,13.87,broken clouds
75,Novobiryusinskiy,RU,56.96,97.71,34.12,91,92,5.97,overcast clouds
76,Ginda,IN,30.69,78.49,53.65,50,2,4.56,clear sky
77,Bredasdorp,ZA,-34.53,20.04,55.4,87,0,3.36,clear sky
78,Hami,CN,42.8,93.45,51.69,39,0,6.71,clear sky
79,Guerrero Negro,MX,27.98,-114.06,74.73,63,79,8.25,broken clouds
80,Bogotol,RU,56.21,89.53,39.18,81,100,8.63,overcast clouds
81,Longyearbyen,SJ,78.22,15.64,19.4,79,20,6.93,few clouds
82,New Norfolk,AU,-42.78,147.06,51.8,93,90,1.12,overcast clouds
83,Dikson,RU,73.51,80.55,23.22,96,100,10.38,overcast clouds
84,Buenos Aires,AR,-34.61,-58.38,64.0,72,75,23.04,light rain
85,Vaini,TO,-21.2,-175.2,71.6,78,75,8.05,broken clouds
86,Port Elizabeth,ZA,-33.92,25.57,60.8,82,0,3.36,clear sky
87,Vestmannaeyjar,IS,63.44,-20.27,39.2,86,75,24.16,broken clouds
88,Catuday,PH,16.29,119.81,78.39,93,100,25.7,moderate rain
89,Virginia Beach,US,36.85,-75.98,80.6,57,75,10.29,broken clouds
90,Faanui,PF,-16.48,-151.75,78.39,78,48,11.23,scattered clouds
91,Kodiak,US,57.79,-152.41,39.2,64,1,10.29,clear sky
92,Saskylakh,RU,71.92,114.08,8.24,94,91,4.07,overcast clouds
93,Robertsport,LR,6.75,-11.37,79.48,84,94,8.14,moderate rain
94,Port Lincoln,AU,-34.73,135.87,58.06,78,62,14.65,broken clouds
95,Heidelberg,ZA,-26.5,28.36,69.01,54,5,4.68,clear sky
96,Butaritari,KI,3.07,172.79,82.53,69,100,7.72,overcast clouds
97,Dublin,US,37.7,-121.94,82.0,29,1,3.36,clear sky
98,Magadan,RU,59.57,150.8,29.21,86,3,7.9,clear sky
99,Marawi,PH,8.0,124.29,77.0,87,100,4.0,moderate rain
100,Hobart,AU,-42.88,147.33,51.8,93,90,1.12,overcast clouds
101,Eyl,SO,7.98,49.82,82.81,72,5,7.23,clear sky
102,Taltal,CL,-25.4,-70.48,63.46,61,27,9.19,scattered clouds
103,Deputatskiy,RU,69.3,139.9,6.57,97,100,2.01,overcast clouds
104,Chiredzi,ZW,-21.05,31.67,75.94,60,29,8.86,scattered clouds
105,Nizwa,OM,22.93,57.53,72.23,21,0,5.93,clear sky
106,Saint-Philippe,RE,-21.36,55.77,75.2,69,25,19.46,scattered clouds
