City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gumla,IN,2020-10-13 18:22:38,23.05,84.55,71.91,91,76,4.09
1,Cherskiy,RU,2020-10-13 18:22:39,68.75,161.3,30.15,89,98,12.57
2,Upernavik,GL,2020-10-13 18:22:39,72.79,-56.15,25.27,94,0,10.58
3,Srandakan,ID,2020-10-13 18:22:39,-7.94,110.25,77.0,78,97,5.77
4,Ushuaia,AR,2020-10-13 18:18:50,-54.8,-68.3,48.2,36,75,20.8
5,Atuona,PF,2020-10-13 18:22:40,-9.8,-139.03,78.08,73,47,18.21
6,Yellowknife,CA,2020-10-13 18:22:40,62.46,-114.35,25.0,62,75,25.28
7,Hilo,US,2020-10-13 18:18:15,19.73,-155.09,77.0,73,90,6.93
8,Port Elizabeth,ZA,2020-10-13 18:22:41,-33.92,25.57,57.2,76,6,16.11
9,Port Blair,IN,2020-10-13 18:19:59,11.67,92.75,80.4,84,98,13.38
10,Qaanaaq,GL,2020-10-13 18:22:41,77.48,-69.36,22.69,81,0,6.67
11,Puerto Ayora,EC,2020-10-13 18:22:42,-0.74,-90.35,78.8,69,40,17.22
12,Port Lincoln,AU,2020-10-13 18:19:15,-34.73,135.87,60.93,81,36,8.81
13,Novo Aripuana,BR,2020-10-13 18:22:42,-5.12,-60.38,94.12,43,82,3.74
14,Mae Hong Son,TH,2020-10-13 18:22:43,19.3,97.97,71.56,70,75,1.34
15,Mataura,NZ,2020-10-13 18:22:43,-46.19,168.86,44.01,77,39,15.99
16,Prnjavor,BA,2020-10-13 18:22:43,44.87,17.66,48.2,81,89,6.93
17,Bandarbeyla,SO,2020-10-13 18:22:44,9.49,50.81,79.36,84,25,11.27
18,Bonavista,CA,2020-10-13 18:22:44,48.65,-53.11,52.0,58,6,5.99
19,Talnakh,RU,2020-10-13 18:22:44,69.49,88.4,26.6,100,75,20.13
20,Fort Saint James,CA,2020-10-13 18:22:44,54.43,-124.25,38.35,74,100,5.19
21,Harnai,PK,2020-10-13 18:22:45,30.1,67.94,67.17,21,0,2.48
22,Cape Town,ZA,2020-10-13 18:21:03,-33.93,18.42,57.99,67,35,18.34
23,Zaykovo,RU,2020-10-13 18:22:45,57.56,62.76,45.18,81,67,7.16
24,Rikitea,PF,2020-10-13 18:22:45,-23.12,-134.97,72.75,72,5,14.23
25,Punta Arenas,CL,2020-10-13 18:22:05,-53.15,-70.92,44.6,65,75,31.38
26,Chicama,PE,2020-10-13 18:22:46,-7.84,-79.15,66.2,72,75,10.29
27,New Norfolk,AU,2020-10-13 18:22:46,-42.78,147.06,39.99,73,0,1.97
28,Victoria,HK,2020-10-13 18:18:13,22.29,114.16,77.0,86,100,1.01
29,Bundaberg,AU,2020-10-13 18:22:47,-24.85,152.35,62.6,77,13,8.05
30,Arraial Do Cabo,BR,2020-10-13 18:22:47,-22.97,-42.03,80.6,65,0,24.16
31,Pisco,PE,2020-10-13 18:22:47,-13.7,-76.22,68.0,68,2,8.05
32,Hofn,IS,2020-10-13 18:22:48,64.25,-15.21,46.4,80,0,12.97
33,Shirokiy,RU,2020-10-13 18:22:48,49.76,129.52,27.91,88,9,11.45
34,Kapaa,US,2020-10-13 18:22:48,22.08,-159.32,80.6,78,75,16.11
35,Busselton,AU,2020-10-13 18:22:48,-33.65,115.33,57.99,83,43,13.73
36,Vaini,TO,2020-10-13 18:22:49,-21.2,-175.2,69.8,73,40,8.05
37,Vao,NC,2020-10-13 18:22:49,-22.67,167.48,73.09,89,1,11.59
38,Ketchikan,US,2020-10-13 18:22:49,55.34,-131.65,46.4,81,1,11.41
39,Beyneu,KZ,2020-10-13 18:22:50,45.32,55.2,55.17,34,39,11.36
40,Hokitika,NZ,2020-10-13 18:22:50,-42.72,170.97,51.04,92,99,11.34
41,Nikolskoye,RU,2020-10-13 18:22:50,59.7,30.79,45.0,93,75,2.84
42,Kilimatinde,TZ,2020-10-13 18:22:50,-5.85,34.95,72.48,55,72,5.79
43,Castro,BR,2020-10-13 18:22:51,-24.79,-50.01,80.31,46,41,3.76
44,Mar Del Plata,AR,2020-10-13 18:21:02,-38.0,-57.56,66.2,68,0,8.05
45,Cabo San Lucas,MX,2020-10-13 18:22:51,22.89,-109.91,82.4,61,75,20.8
46,Barrow,US,2020-10-13 18:22:52,71.29,-156.79,26.6,53,90,12.75
47,San Matias,BO,2020-10-13 18:22:52,-16.37,-58.4,104.09,21,36,4.63
48,Hermanus,ZA,2020-10-13 18:22:52,-34.42,19.23,54.0,76,7,10.22
49,Santander,ES,2020-10-13 18:22:52,43.46,-3.8,59.0,93,75,6.93
50,Gat,IL,2020-10-13 18:22:53,31.61,34.76,77.0,61,53,4.7
51,Quatre Cocos,MU,2020-10-13 18:22:53,-20.21,57.76,75.0,88,40,9.17
52,Airai,TL,2020-10-13 18:22:53,-8.93,125.41,60.6,55,90,2.68
